chars,psnr,rmse
1,100.7865,0.002329
2,97.7762,0.003294
3,96.0153,0.004034
4,94.9887,0.004541
5,93.7968,0.005208
6,93.1522,0.005610
7,92.4614,0.006074
8,92.0942,0.006336
9,91.7556,0.006588
10,91.5437,0.006751
11,91.2441,0.006988
12,90.9638,0.007217
13,90.5335,0.007583
14,90.2175,0.007864
15,89.9229,0.008136
16,89.6471,0.008398
17,89.4511,0.008590
18,89.3877,0.008653
19,89.0256,0.009021
20,88.8000,0.009259
21,88.6914,0.009375
22,88.4312,0.009660
23,88.3314,0.009772
24,88.0449,0.010099
25,87.9535,0.010206
26,87.7762,0.010417
27,87.6479,0.010572
28,87.5643,0.010674
29,87.4824,0.010775
30,87.3230,0.010975
31,87.1316,0.011219
32,86.9484,0.011458
33,86.8420,0.011600
34,86.7382,0.011739
35,86.6703,0.011831
36,86.5052,0.012058
37,86.4090,0.012192
38,86.2533,0.012413
39,86.1031,0.012630
40,86.0444,0.012715
41,85.9293,0.012885
42,85.7897,0.013094
43,85.6544,0.013299
44,85.5491,0.013461
45,85.4717,0.013582
46,85.4463,0.013622
47,85.3211,0.013819
48,85.2477,0.013937
49,85.1994,0.014014
50,85.1517,0.014091
51,85.0578,0.014245
52,84.8982,0.014509
53,84.7877,0.014695
54,84.6799,0.014878
55,84.5956,0.015023
56,84.4721,0.015238
57,84.3718,0.015415
58,84.2737,0.015590
59,84.1589,0.015798
60,84.1401,0.015832
61,84.0841,0.015934
62,83.9922,0.016104
63,83.9023,0.016271
64,83.8142,0.016437
65,83.7450,0.016569
66,83.6938,0.016667
67,83.6600,0.016732
68,83.5767,0.016893
69,83.4949,0.017053
70,83.4146,0.017211
71,83.3358,0.017368
72,83.2737,0.017493
73,83.2278,0.017585
74,83.1522,0.017739
75,83.0928,0.017861
76,83.0050,0.018042
77,82.9618,0.018132
78,82.8907,0.018281
79,82.8626,0.018340
80,82.8208,0.018429
81,82.7794,0.018517
82,82.7112,0.018663
83,82.6708,0.018750
84,82.6441,0.018808
85,82.6175,0.018865
86,82.5518,0.019009
87,82.5128,0.019094
88,82.4487,0.019236
89,82.3604,0.019432
90,82.2739,0.019627
91,82.2012,0.019792
92,82.1772,0.019846
93,82.1414,0.019928
94,82.0942,0.020037
95,82.0359,0.020172
96,81.9784,0.020306
97,81.9329,0.020412
98,81.9104,0.020466
99,81.8767,0.020545
100,81.8213,0.020676
101,81.7556,0.020833
102,81.7232,0.020911
103,81.6803,0.021015
104,81.6273,0.021144
105,81.5541,0.021322
106,81.4923,0.021475
107,81.4415,0.021600
108,81.3814,0.021751
109,81.3318,0.021875
110,81.2732,0.022023
111,81.2538,0.022073
112,81.2152,0.022171
113,81.1581,0.022317
114,81.1204,0.022414
115,81.0552,0.022583
116,81.0368,0.022631
117,80.9729,0.022798
118,80.9458,0.022869
119,80.9009,0.022988
120,80.8390,0.023152
121,80.8039,0.023246
122,80.7605,0.023362
123,80.7347,0.023432
124,80.7176,0.023478
125,80.7005,0.023524
126,80.6582,0.023639
127,80.6413,0.023685
128,80.6246,0.023731
129,80.5995,0.023799
130,80.5829,0.023845
131,80.5335,0.023981
132,80.4927,0.024094
133,80.4603,0.024184
134,80.4123,0.024318
135,80.3884,0.024385
136,80.3490,0.024496
137,80.3021,0.024628
138,80.2866,0.024672
139,80.2404,0.024804
140,80.2023,0.024913
141,80.1795,0.024978
142,80.1419,0.025087
143,80.1121,0.025173
144,80.0825,0.025259
145,80.0530,0.025345
146,80.0092,0.025473
147,79.9659,0.025600
148,79.9587,0.025622
149,79.9229,0.025727
150,79.9087,0.025769
151,79.8804,0.025853
152,79.8523,0.025937
153,79.8105,0.026062
154,79.7691,0.026187
155,79.7417,0.026270
156,79.7076,0.026373
157,79.6806,0.026455
158,79.6538,0.026537
159,79.6338,0.026598
160,79.6138,0.026659
161,79.6006,0.026700
162,79.5676,0.026801
163,79.5415,0.026882
164,79.5155,0.026963
165,79.4832,0.027063
166,79.4703,0.027103
167,79.4384,0.027203
168,79.4067,0.027303
169,79.3940,0.027343
170,79.3626,0.027442
171,79.3439,0.027501
172,79.3129,0.027599
173,79.2820,0.027697
174,79.2514,0.027795
175,79.2210,0.027893
176,79.2029,0.027951
177,79.1848,0.028009
178,79.1609,0.028086
179,79.1311,0.028183
180,79.1016,0.028279
181,79.0898,0.028317
182,79.0605,0.028413
183,79.0314,0.028508
184,79.0083,0.028584
185,78.9681,0.028717
186,78.9396,0.028811
187,78.9057,0.028924
188,78.9001,0.028943
189,78.8664,0.029055
190,78.8553,0.029092
191,78.8275,0.029185
192,78.8000,0.029278
193,78.7780,0.029352
194,78.7453,0.029463
195,78.7129,0.029573
196,78.7075,0.029591
197,78.6914,0.029646
198,78.6593,0.029756
199,78.6381,0.029829
200,78.6275,0.029865
201,78.6117,0.029920
202,78.5959,0.029974
203,78.5698,0.030064
204,78.5490,0.030136
205,78.5334,0.030190
206,78.5128,0.030262
207,78.5025,0.030298
208,78.4872,0.030352
209,78.4718,0.030405
210,78.4515,0.030477
211,78.4363,0.030530
212,78.4061,0.030636
213,78.3760,0.030742
214,78.3512,0.030831
215,78.3363,0.030883
216,78.3117,0.030971
217,78.2921,0.031041
218,78.2775,0.031093
219,78.2629,0.031146
220,78.2435,0.031215
221,78.2338,0.031250
222,78.2194,0.031302
223,78.2002,0.031371
224,78.1810,0.031440
225,78.1668,0.031492
226,78.1573,0.031527
227,78.1478,0.031561
228,78.1289,0.031630
229,78.1054,0.031715
230,78.0914,0.031767
231,78.0821,0.031801
232,78.0635,0.031869
233,78.0542,0.031903
234,78.0357,0.031971
235,78.0081,0.032073
236,77.9807,0.032174
237,77.9626,0.032241
238,77.9445,0.032308
239,77.9310,0.032359
240,77.9130,0.032426
241,77.8951,0.032493
242,77.8773,0.032559
243,77.8551,0.032643
244,77.8419,0.032692
245,77.8243,0.032759
246,77.8067,0.032825
247,77.7936,0.032874
248,77.7719,0.032957
249,77.7546,0.033023
250,77.7416,0.033072
251,77.7244,0.033137
252,77.7073,0.033203
253,77.6860,0.033284
254,77.6605,0.033382
255,77.6436,0.033447
256,77.6268,0.033512
257,77.6059,0.033593
258,77.5892,0.033657
259,77.5851,0.033673
260,77.5768,0.033706
261,77.5643,0.033754
262,77.5519,0.033802
263,77.5314,0.033882
264,77.5150,0.033946
265,77.4946,0.034026
266,77.4743,0.034106
267,77.4581,0.034169
268,77.4420,0.034233
269,77.4219,0.034312
270,77.4059,0.034375
271,77.3900,0.034438
272,77.3781,0.034485
273,77.3742,0.034501
274,77.3623,0.034548
275,77.3465,0.034611
276,77.3348,0.034658
277,77.3230,0.034705
278,77.3074,0.034767
279,77.2996,0.034799
280,77.2996,0.034799
281,77.2802,0.034876
282,77.2608,0.034954
283,77.2531,0.034985
284,77.2416,0.035032
285,77.2224,0.035109
286,77.2110,0.035155
287,77.1920,0.035232
288,77.1768,0.035294
